epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,94.1292,0.47782,0.71344,0.90133,0.98635,0.99355,0.99423,0.96295,0.27682,0.55099,0.69101,0.0003862,0.0003862,0.0003862
64,95.2731,0.38,0.68277,0.89423,0.98635,0.99355,0.99423,0.96295,0.27682,0.55099,0.69101,0.0003763,0.0003763,0.0003763
65,96.4934,0.41066,0.67419,0.84938,0.99246,0.99355,0.99423,0.96431,0.28236,0.54142,0.69238,0.0003664,0.0003664,0.0003664
66,97.6332,0.44165,0.74776,0.91511,0.99246,0.99355,0.99423,0.96431,0.28236,0.54142,0.69238,0.0003565,0.0003565,0.0003565
67,98.806,0.38715,0.67096,0.89053,0.99246,0.99355,0.99423,0.96431,0.28236,0.54142,0.69238,0.0003466,0.0003466,0.0003466
68,99.988,0.40822,0.69412,0.90119,0.99208,0.99355,0.99423,0.96472,0.27284,0.53493,0.69036,0.0003367,0.0003367,0.0003367
69,101.176,0.40989,0.77011,0.92049,0.99208,0.99355,0.99423,0.96472,0.27284,0.53493,0.69036,0.0003268,0.0003268,0.0003268
70,102.344,0.42162,0.66704,0.88373,0.99208,0.99355,0.99423,0.96472,0.27284,0.53493,0.69036,0.0003169,0.0003169,0.0003169
71,103.584,0.42322,0.73538,0.8897,0.99358,0.99909,0.99423,0.96971,0.26349,0.52597,0.68837,0.000307,0.000307,0.000307
72,104.741,0.42165,0.714,0.90093,0.99358,0.99909,0.99423,0.96971,0.26349,0.52597,0.68837,0.0002971,0.0002971,0.0002971
73,105.933,0.39293,0.65861,0.85951,1,0.99921,0.995,0.9654,0.2679,0.52174,0.68869,0.0002872,0.0002872,0.0002872
74,107.057,0.38179,0.65007,0.88406,1,0.99921,0.995,0.9654,0.2679,0.52174,0.68869,0.0002773,0.0002773,0.0002773
75,108.169,0.40185,0.66506,0.87853,1,0.99921,0.995,0.9654,0.2679,0.52174,0.68869,0.0002674,0.0002674,0.0002674
76,109.468,0.37905,0.65371,0.91054,1,0.99936,0.995,0.96838,0.27549,0.52268,0.69174,0.0002575,0.0002575,0.0002575
77,110.596,0.36543,0.67043,0.88237,1,0.99936,0.995,0.96838,0.27549,0.52268,0.69174,0.0002476,0.0002476,0.0002476
